
314 150 2.48514536957 107.328386538
763 150 2.19721836522 106.36813471
2332 150 2.1408630941 108.046292431
1313 150 2.15914438275 109.291797433
2185 150 2.3120452443 110.232625799
219 150 1.9526788866 104.501420428
671 150 2.28735663233 115.803084694
1373 150 2.31252230069 257 115.968358
1885 150 2.14855638383 257 111.255553646
87 150 2.14836312335 258 120.509222458
462 150 2.12016386345 259 108.276100433
242 150 2.21679420563 260 112.129153173
3220 150 2.00645339611 261 103.525972185
421 150 2.32649489766 262 113.289949173
105 150 1.77749863339 262 109.595845917
106 150 2.20108012031 1 112.538673926
26 150 2.24470772356 2 105.894659764
150 150 2.7107420571 0.1 118.743988317
2326 150 2.10011570777 0.2 109.358708456
148 150 1.85570097895 0.01 101.865556851
809 150 2.09447945002 0.02 113.69537838
831 50 1.00456819036 0.01 23.6399232474
474 50 1.02219931311 0.02 24.1854557408
677 50 0.999572283835 0.03 23.107196773
1127 50 0.985432495617 0.04 23.6367859752
842 50 0.998625077568 0.05 23.6084009829
1 50 0.0 350 16.1572658286
1 50 nan 350 14.6227964434
1 50 0.0 350 12.1933676465
1 50 4.21468485109e-08 350 11.2959858848
1 50 8.42936970218e-08 350 25.2426224942
1 50 nan 350 25.5936427411
1 50 0.0 350 34.987648205
1 50 4.21468485109e-08 350 13.3268043509
1 50 0.0 350 33.9649445269
1 50 5.96046447754e-08 350 13.7678325422
1 50 0.0 350 51.9038540293
1 50 0.0 350 18.187967852
1 50 nan 350 12.3905784365
1 50 nan 350 19.7266867802
1 50 0.0 350 14.498395732
1 50 5.96046447754e-08 350 14.7572714062
1 50 5.96046447754e-08 350 18.8725649936
1 50 0.0 350 15.2560027865
1 50 0.0 350 11.4512229699
1 50 nan 350 18.0317281526
1 50 5.96046447754e-08 350 14.8296977144
1 50 0.0 350 12.3853519251
1 50 nan 350 21.3005553222
1 50 0.0 350 17.7300778396
1 50 nan 350 15.3863322269
1 50 nan 350 20.595165881
1 50 0.0 350 13.9795836342
1 50 0.0 350 32.6366511242
1 50 0.0 350 15.2341986566
1 50 0.0 350 16.0046885835
1 50 4.21468485109e-08 350 9.54131237404
1 50 0.0 350 12.0656091137
1 50 0.0 350 18.8754941923
1 50 0.0 350 20.9686630982
1 50 5.96046447754e-08 350 18.8762237981
1 50 8.42936970218e-08 350 36.3715728425
1 50 5.96046447754e-08 350 17.6962350278
1 50 5.96046447754e-08 350 30.2723049957
1 50 0.0 350 24.3330760761
1 50 4.21468485109e-08 350 13.2535104658
1 50 0.0 350 8.38741475361
1 50 0.0 350 17.6101445954
1 50 0.0 350 11.9783191977
1 50 0.0 350 13.3817164629
1 50 0.0 350 19.2177285688
1 50 0.0 350 10.6060344228
1 50 0.0 350 35.8329332661
1 50 0.0 350 22.8434859546
1 50 0.0 350 34.8103630485
1 50 nan 350 13.370430494
1 50 0.0 350 9.96498913592
1 50 nan 350 20.7445080681
1 50 5.96046447754e-08 350 19.6616920212
1 50 5.96046447754e-08 350 19.4573979214
1 50 4.21468485109e-08 350 13.6223566659
1 50 nan 350 16.487889929
1 50 nan 350 5.91205956533
1 50 0.0 350 10.9367588194
1 50 5.96046447754e-08 350 20.7462908854
1 50 0.0 350 33.9559120372
1 50 0.0 350 6.30444532582
1 50 7.30004829998e-08 350 15.0776840074
1 50 7.30004829998e-08 350 14.6684940945
1 50 0.0 350 16.1059196858
1 50 nan 350 17.7968100169
1 50 0.0 350 17.806707314
1 50 5.96046447754e-08 350 17.9827809248
1 50 5.96046447754e-08 350 19.395354728
1 50 0.0 350 12.1261553162
1 50 nan 350 26.1945839846
1 50 0.0 350 35.0766692901
1 50 0.0 350 14.9104881037
1 50 0.0 350 16.9214402541
1 50 4.21468485109e-08 350 15.3427597149
1 50 0.0 350 7.3565949483
1 50 0.0 350 22.0485512687
1 50 0.0 350 8.08232164667
1 50 0.0 350 28.9832233738
1 50 nan 350 6.49073242732
1 50 nan 350 11.7324977433
1 50 0.0 350 19.091715916
1 50 5.96046447754e-08 350 20.4685095503
1 50 0.0 350 13.2295070945
1 50 0.0 350 11.0118359303
1 50 nan 350 24.2564371599
1 50 0.0 350 12.7963246646
1 50 0.0 350 23.4871525716
1 50 0.0 350 19.5523031837
1 50 8.42936970218e-08 350 27.6871423073
1 50 5.96046447754e-08 350 19.3433617461
1 50 0.0 350 16.6149651136
1 50 nan 350 24.8966065774
1 50 nan 350 12.3394905245
1 50 0.0 350 14.2646189558
1 50 nan 350 9.21450359377
1 50 nan 350 13.2093521244
1 50 nan 350 26.2743559957
1 50 4.21468485109e-08 350 10.223999593
1 50 nan 350 22.049311785
1 50 4.21468485109e-08 350 12.8341347856
1 50 0.0 350 25.5016228213
1 50 4.21468485109e-08 350 11.2762399946
1 50 0.0 1 33.8390014619
1 50 nan 0.01 nan
1 50 nan 0.005 nan
1 50 nan 0.0005 nan
1 50 5.96046447754e-08 1 21.7429115598
1 50 0.0 1 10.9736172287
1 50 0.0 0.1 11.0849189827
1 50 nan 10 15.5673368597
1 50 4.21468485109e-08 0.05 8.84178047148
262 30 0.00380834641858 0.05 3.94456608016
181 30 0.177880942578 0.15000000000000002 4.49899168506
120 30 0.234129298891 0.25 6.46207393974
125 30 0.307959364129 0.35 7.46884498486
36 30 0.467852625205 0.44999999999999996 8.16079627605
246 30 0.514071755226 0.5499999999999999 8.70073860788
28 30 0.724161049125 0.6499999999999999 11.277222691
43 30 0.563729913151 0.7499999999999999 11.0719248864
23 30 0.698321534105 0.8499999999999999 11.0941618149
49 30 0.641912345299 0.9499999999999998 10.4423948927
43 30 0.594950302912 1.0499999999999998 11.0572249803
29 30 0.685294593168 1.15 10.6412671542
32 30 0.543934685615 1.25 11.0748418102
29 30 0.361510606573 1.35 8.93354910996
30 30 0.75248865459 1.4500000000000002 14.4077488643
108 30 0.694582577499 1.5500000000000003 11.6521672266
38 30 0.43548389739 1.6500000000000004 11.0214340131
33 30 0.60803355332 1.7500000000000004 12.8891823593
35 30 0.571909863246 1.8500000000000005 12.2434058227
33 30 0.52085866951 1.9500000000000006 10.837383642
37 30 0.686820924219 2.0500000000000007 12.6345980989
437 30 0.628108293227 2.150000000000001 12.0734735735
39 30 0.778659362661 2.250000000000001 13.2444224628
39 30 0.616753786856 2.350000000000001 12.2418414311
29 30 0.759997819262 2.450000000000001 13.2002888882
271 30 0.751717629873 2.550000000000001 13.8833536726
391 30 0.675330366448 2.6500000000000012 13.4602724993
38 30 0.656765732665 2.7500000000000013 11.9533119501
46 30 0.726632984949 2.8500000000000014 13.241278481
36 30 0.640017247143 2.9500000000000015 12.7813661563
94 30 0.721132934477 3.0500000000000016 13.058537187
